id,player_api_id,player_name,birthday,height
1,505942,Aaron Appindangoye,1992-02-29 00:00:00,182.88
2,155782,Aaron Cresswell,1989-12-15 00:00:00,170.18
3,162549,Aaron Doran,1991-05-13 00:00:00,170.18
4,30572,Aaron Galindo,1982-05-08 00:00:00,182.88
5,23780,Aaron Hughes,1979-11-08 00:00:00,182.88
6,27316,Aaron Hunt,1986-09-04 00:00:00,182.88
7,564793,Aaron Kuhl,1996-01-30 00:00:00,172.72
8,30895,Aaron Lennon,1987-04-16 00:00:00,165.1
9,528212,Aaron Lennox,1993-02-19 00:00:00,190.5
10,101042,Aaron Meijers,1987-10-28 00:00:00,175.26
11,23889,Aaron Mokoena,1980-11-25 00:00:00,182.88
12,231592,Aaron Mooy,1990-09-15 00:00:00,175.26
13,163222,Aaron Muirhead,1990-08-30 00:00:00,187.96
14,40719,Aaron Niguez,1989-04-26 00:00:00,170.18
15,75489,Aaron Ramsey,1990-12-26 00:00:00,177.8
16,597948,Aaron Splaine,1996-10-13 00:00:00,172.72
17,161644,Aaron Taylor-Sinclair,1991-04-08 00:00:00,182.88
18,23499,Aaron Wilbraham,1979-10-21 00:00:00,190.5
19,120919,Aatif Chahechouhe,1986-07-02 00:00:00,175.26
20,46447,Abasse Ba,1976-07-12 00:00:00,187.96
21,167027,Abdelaziz Barrada,1989-06-19 00:00:00,177.8
22,245653,Abdelfettah Boukhriss,1986-10-22 00:00:00,185.42
23,128456,Abdelhamid El Kaoutari,1990-03-17 00:00:00,180.34
24,42664,Abdelkader Ghezzal,1984-12-05 00:00:00,182.88
25,425950,Abdellah Zoubir,1991-12-05 00:00:00,180.34
26,38423,Abdelmajid Oulmers,1978-09-12 00:00:00,172.72
27,3264,Abdelmalek Cherrad,1981-01-14 00:00:00,185.42
28,467485,Abdelmalek El Hasnaoui,1994-02-09 00:00:00,180.34
29,306735,Abdelouahed Chakhsi,1986-10-01 00:00:00,182.88
30,41659,Abderrazak Jadid,1983-06-01 00:00:00,177.8
31,31684,Abdeslam Ouaddou,1978-11-01 00:00:00,190.5
32,32637,Abdessalam Benjelloun,1985-01-28 00:00:00,187.96
33,563215,Abdou Diallo,1996-05-04 00:00:00,182.88
34,41093,Abdou Traore,1988-01-17 00:00:00,180.34
35,564712,Abdoul Ba,1994-02-08 00:00:00,200.66
36,67334,Abdoul Karim Yoda,1988-10-25 00:00:00,182.88
37,173955,Abdoul Razzagui Camara,1990-02-20 00:00:00,177.8
38,39562,Abdoulay Konko,1984-03-09 00:00:00,182.88
39,191784,Abdoulaye Ba,1991-01-01 00:00:00,198.12
40,210400,Abdoulaye Bamba,1990-04-25 00:00:00,182.88
41,201915,Abdoulaye Diaby,1991-05-21 00:00:00,172.72
42,194479,"Abdoulaye Diallo Sadio,22",1990-12-28 00:00:00,182.88
43,189181,Abdoulaye Diallo,1992-03-30 00:00:00,187.96
44,352887,Abdoulaye Doucoure,1993-01-01 00:00:00,182.88
45,40005,Abdoulaye Faye,1978-02-26 00:00:00,187.96
46,409003,Abdoulaye Keita,1994-01-05 00:00:00,175.26
47,37280,Abdoulaye Meite,1980-10-06 00:00:00,185.42
48,439366,Abdoulaye Toure,1994-03-03 00:00:00,187.96
49,148827,Abdoulwahid Sissoko,1990-03-20 00:00:00,182.88
50,173011,Abdourahman Dampha,1991-12-27 00:00:00,182.88
51,419681,Abdul Aziz Tetteh,1989-02-10 00:00:00,182.88
52,196947,Abdul Majeed Waris,1991-09-19 00:00:00,172.72
53,89405,Abdul Osman,1987-02-27 00:00:00,182.88
54,324910,Abdul Rahman Baba,1994-07-02 00:00:00,177.8
55,67952,Abdul-Yakinu Iddi,1986-05-25 00:00:00,172.72
56,31012,Abdulkader Keita,1981-08-06 00:00:00,182.88
57,176301,Abdulla Fatadi,1985-11-02 00:00:00,175.26
58,307227,Abdullah Al Hafith,1992-12-25 00:00:00,187.96
59,176302,Abdullah Omar,1987-01-01 00:00:00,175.26
60,525595,Abdullahi Shehu,1993-03-12 00:00:00,180.34
61,24385,Abel Aguilar,1985-01-06 00:00:00,185.42
62,29904,Abel Gomez,1982-02-20 00:00:00,182.88
63,105548,Abel Hernandez,1990-08-08 00:00:00,185.42
64,172875,Abel Issa Camara,1990-01-06 00:00:00,185.42
